# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.82897256136586e-09, Chi^2 = 287.344259679584
#  q       exp_intensity   error model_intensity
0.22921300 10.12609959     3.18215990 2.43199555     
0.23049700 9.82944012      3.13519001 2.31626101     
0.23178899 9.89095020      3.14498997 2.20736597     
0.23308700 9.87559032      3.14253998 2.11488936     
0.23439300 9.90264988      3.14685011 2.02179365     
0.23570600 9.72846031      3.11905003 1.94022809     
0.23702601 9.72898960      3.11912990 1.86779100     
0.23835400 9.75022984      3.12254000 1.80491948     
0.23968901 9.59939957      3.09828997 1.74616327     
0.24103200 9.66506004      3.10887003 1.69699880     
0.24238200 9.56575012      3.09284997 1.65363786     
0.24374001 9.41903973      3.06904006 1.61888295     
0.24510600 9.46512985      3.07655001 1.59049794     
0.24647900 9.41291046      3.06804991 1.56715822     
0.24786000 9.25277042      3.04184008 1.55407649     
0.24924800 9.30900955      3.05106997 1.54437551     
0.25064400 9.17319012      3.02872992 1.53922385     
0.25204900 9.08047962      3.01338005 1.54723495     
0.25346100 9.19235992      3.03188992 1.55676378     
0.25488001 8.96438026      2.99406004 1.57219783     
0.25630799 9.08409977      3.01397991 1.59268624     
0.25774401 8.97797966      2.99633002 1.62064557     
0.25918800 9.08545017      3.01420999 1.65212455     
0.26064000 9.08403015      3.01396990 1.68136449     
0.26210001 8.92304039      2.98714995 1.71715169     
0.26356801 8.82022953      2.96989012 1.75169257     
0.26504499 8.73929977      2.95622993 1.78692974     
0.26653001 8.66028023      2.94284010 1.81629650     
0.26802301 8.69176960      2.94817996 1.84730355     
0.26952401 8.89500046      2.98245001 1.86689782     
0.27103400 8.69032955      2.94794011 1.88443195     
0.27255300 8.66860962      2.94425011 1.89186009     
0.27407899 8.52289009      2.91939998 1.88836124     
0.27561501 8.53979969      2.92229009 1.87337632     
0.27715901 8.48209953      2.91240001 1.84793211     
0.27871200 8.58753967      2.93044996 1.80927812     
0.28027299 8.53114033      2.92080998 1.75943222     
0.28184301 8.40215969      2.89864993 1.69603976     
0.28342199 8.43570042      2.90442991 1.62236255     
0.28501001 8.38901043      2.89637995 1.53380043     
0.28660601 8.39177036      2.89685011 1.44274983     
0.28821200 8.32266998      2.88490009 1.34007401     
0.28982601 8.20038033      2.86363006 1.23405580     
0.29144999 8.40688038      2.89946008 1.12241670     
0.29308301 8.43614960      2.90451002 1.01317773     
0.29472500 8.21407032      2.86601996 0.90666834     
0.29637599 8.31245995      2.88313007 0.80638354     
0.29803601 8.29759026      2.88054991 0.71289944     
0.29970601 8.33913040      2.88774991 0.63194882     
0.30138499 8.31820011      2.88413000 0.56090254     
0.30307299 8.22721004      2.86830997 0.51150126     
0.30477101 8.25004005      2.87228990 0.47406323     
0.30647799 8.22443008      2.86783004 0.45485228     
0.30819499 8.29298973      2.87976003 0.45447197     
0.30992201 8.31418037      2.88343000 0.46726827     
0.31165799 8.24131012      2.87076998 0.50036933     
0.31340399 8.28656006      2.87863994 0.54694549     
0.31515899 8.26708984      2.87525010 0.60432491     
0.31692499 8.14867020      2.85458994 0.66877361     
0.31869999 8.19935989      2.86345005 0.74184316     
0.32048601 8.22332001      2.86763000 0.81461484     
0.32228100 8.24071980      2.87066007 0.88887778     
0.32408699 8.31803036      2.88409996 0.95484431     
0.32590199 8.23254013      2.86924005 1.01245624     
0.32772800 8.30554008      2.88193011 1.05733165     
0.32956401 8.25759983      2.87360001 1.08811441     
0.33140999 8.20365047      2.86420012 1.10235750     
0.33326700 8.32779026      2.88579011 1.09601151     
0.33513400 8.53110981      2.92080998 1.07476066     
0.33701101 8.48939037      2.91366005 1.03071692     
0.33889899 8.48915005      2.91362000 0.97238693     
0.34079701 8.60031986      2.93263006 0.89772412     
0.34270701 8.61826992      2.93568993 0.80993613     
0.34462601 8.65437984      2.94182992 0.71410939     
0.34655699 8.66014957      2.94281006 0.61452255     
0.34849900 8.85614014      2.97592998 0.51200934     
0.35045099 8.80704975      2.96766996 0.41425430     
0.35241401 8.82590961      2.97083998 0.32335205     
0.35438800 8.77398014      2.96209002 0.24304613     
0.35637400 8.70001030      2.94957995 0.17744202     
0.35837001 8.79668045      2.96591997 0.12919942     
0.36037800 8.98855972      2.99809003 0.09916915     
0.36239699 8.77560043      2.96235991 0.08912084     
0.36442700 8.83934021      2.97309995 0.09679878     
0.36646801 8.84125042      2.97341990 0.12357415     
0.36852100 8.81336975      2.96872997 0.16520913     
0.37058601 8.86242008      2.97697997 0.21898559     
0.37266201 8.89599037      2.98260999 0.27889595     
0.37474900 8.80502033      2.96731997 0.34699921     
0.37684900 8.76587963      2.96072006 0.41515432     
0.37896001 8.90538025      2.98418999 0.47740713     
0.38108301 8.90678024      2.98442006 0.52973231     
0.38321799 8.84309959      2.97374010 0.57306209     
0.38536400 8.81451988      2.96893001 0.60187290     
0.38752300 8.73793030      2.95600009 0.61311963     
0.38969401 8.67029953      2.94454002 0.60877075     
0.39187700 8.78804016      2.96445990 0.58983629     
0.39407301 8.86061954      2.97668004 0.55365629     
0.39627999 8.85356998      2.97549009 0.50501842     
0.39850000 8.71461964      2.95204997 0.44651620     
0.40073299 8.76714993      2.96093988 0.38411300     
0.40297800 8.66835022      2.94421005 0.31740535     
0.40523499 8.74273014      2.95681000 0.25420386     
0.40750501 8.70705986      2.95076990 0.19858264     
0.40978801 8.74575996      2.95731997 0.14912806     
0.41208401 8.83028984      2.97158003 0.11658940     
0.41439199 8.80440044      2.96722007 0.09416734     
0.41671401 8.81853008      2.96959996 0.08968091     
0.41904801 8.72052002      2.95304990 0.09652105     
0.42139599 8.72943020      2.95456004 0.11877042     
0.42375600 8.79131031      2.96500993 0.15145023     
0.42613000 8.64659023      2.94051003 0.19135011     
0.42851701 8.69355965      2.94847989 0.23557445     
0.43091801 8.59193039      2.93120003 0.28142153     
0.43333200 8.66501045      2.94363999 0.32210064     
0.43575999 8.80578995      2.96745992 0.35740400     
0.43820101 8.67893982      2.94600010 0.38329540     
0.44065601 8.85229015      2.97528005 0.39611572     
0.44312400 8.73285007      2.95514011 0.39803770     
0.44560701 8.79827023      2.96619010 0.38529964     
0.44810301 8.74367046      2.95696998 0.36293445     
0.45061299 8.88171959      2.98022008 0.32973831     
0.45313701 8.74804020      2.95771003 0.28999583     
0.45567599 8.83051014      2.97162008 0.24529157     
0.45822901 8.92811012      2.98798990 0.20024727     
0.46079600 8.72597027      2.95396996 0.15712991     
0.46337700 8.80247021      2.96690011 0.12162213     
0.46597299 8.82820988      2.97123003 0.09230915     
0.46858299 8.85805988      2.97624993 0.07504799     
0.47120801 8.83504009      2.97237992 0.06569679     
0.47384799 8.92376995      2.98727012 0.06658549     
0.47650301 8.87257004      2.97868991 0.07623850     
0.47917199 8.91808987      2.98632002 0.09402523     
0.48185599 9.05167007      3.00860000 0.11625679     
0.48455599 8.93787956      2.98962998 0.13967602     
0.48727000 9.03722000      3.00620008 0.16265463     
