# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 3.04299491539138e-09, Chi^2 = 427.738223799481
#  q       exp_intensity   error model_intensity
0.14991800 22.71990013     4.76654005 3.20676296     
0.15075700 22.61249924     4.75525999 3.13490807     
0.15160200 22.02499962     4.69307995 3.15324528     
0.15245099 21.50300026     4.63713980 3.25619033     
0.15330499 21.45700073     4.63217020 3.44091077     
0.15416400 21.24640083     4.60937977 3.70465528     
0.15502800 20.08639908     4.48179007 4.03662165     
0.15589599 20.21780014     4.49641991 4.44126472     
0.15676901 19.68320084     4.43658018 4.90861112     
0.15764800 19.22820091     4.38499022 5.42471685     
0.15853100 18.61079979     4.31402016 5.98168563     
0.15941900 18.68400002     4.32250023 6.57466209     
0.16031200 18.58729935     4.31129980 7.19659695     
0.16121000 18.35779953     4.28459978 7.84159887     
0.16211300 17.81010056     4.22021008 8.50742380     
0.16302100 17.51309967     4.18486023 9.17070719     
0.16393501 17.50200081     4.18353987 9.84863456     
0.16485301 17.25790024     4.15426016 10.51309116    
0.16577700 16.84709930     4.10451984 11.16691852    
0.16670500 16.69930077     4.08648014 11.79623442    
0.16763900 16.56220055     4.06967020 12.40448865    
0.16857800 16.05830002     4.00727987 12.98177094    
0.16952300 15.91609955     3.98950005 13.52267480    
0.17047200 15.54769993     3.94305992 14.02236124    
0.17142700 15.70740032     3.96325994 14.47710038    
0.17238800 15.42310047     3.92722011 14.88160468    
0.17335300 14.99079990     3.87179995 15.23133332    
0.17432401 14.85779953     3.85457993 15.52700229    
0.17530100 14.78929996     3.84569001 15.76337864    
0.17628300 14.70699978     3.83497000 15.93655403    
0.17727099 14.54469967     3.81375003 16.04970166    
0.17826401 14.08409977     3.75288010 16.09925596    
0.17926200 13.77000046     3.71079993 16.08504317    
0.18026701 13.85760021     3.72257996 16.00913025    
0.18127599 13.96850014     3.73744988 15.87247192    
0.18229200 13.91329956     3.73005009 15.67222703    
0.18331300 13.67570019     3.69806004 15.41551698    
0.18434000 13.12310028     3.62259007 15.10067498    
0.18537299 13.33349991     3.65151000 14.73134443    
0.18641099 13.11750031     3.62180996 14.31367125    
0.18745600 13.02540016     3.60907006 13.84960046    
0.18850601 12.95979977     3.59997010 13.34143040    
0.18956199 12.68640041     3.56180000 12.79710488    
0.19062400 12.55819988     3.54375005 12.21947522    
0.19169199 12.36690044     3.51665998 11.61255207    
0.19276500 12.29930019     3.50704002 10.98615027    
0.19384500 12.09770012     3.47816992 10.33857130    
0.19493100 12.09140015     3.47726989 9.68121629     
0.19602300 12.08069992     3.47572994 9.01625490     
0.19712099 11.72869968     3.42471004 8.34688124     
0.19822600 11.96689987     3.45933008 7.68550821     
0.19933601 11.80720043     3.43617010 7.02939803     
0.20045300 11.74009991     3.42637992 6.39158586     
0.20157599 11.51860046     3.39390993 5.77154370     
0.20270500 11.24320030     3.35308003 5.17481448     
