# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.71653273087347e-09, Chi^2 = 279.073721159316
#  q       exp_intensity   error model_intensity
0.10426800 92.86869812     9.63683987 92.50278580    
0.10485200 90.80480194     9.52915955 87.71153083    
0.10544000 88.77649689     9.42212963 82.94490014    
0.10603100 87.35820007     9.34655952 78.18068234    
0.10662500 84.22789764     9.17757988 73.52542054    
0.10722200 82.52349854     9.08423996 68.91289104    
0.10782300 80.76589966     8.98698044 64.38213764    
0.10842700 77.62359619     8.81042957 59.98618289    
0.10903400 76.56520081     8.75014973 55.64829119    
0.10964500 74.34089661     8.62211990 51.52401083    
0.11025900 72.45999908     8.51233959 47.50407991    
0.11087700 71.25530243     8.44128990 43.62976561    
0.11149800 69.31089783     8.32532024 39.98677183    
0.11212200 68.52390289     8.27791977 36.45401028    
0.11275100 66.58419800     8.15991020 33.16577107    
0.11338200 65.17109680     8.07285976 30.08415207    
0.11401700 63.98960114     7.99935007 27.13501748    
0.11465600 61.89239883     7.86716986 24.52112144    
0.11529800 61.27809906     7.82804012 22.06674230    
0.11594400 59.89390182     7.73910999 19.79665229    
0.11659400 57.88629913     7.60831022 17.84221973    
0.11724700 57.69869995     7.59596014 16.04868434    
0.11790400 56.14509964     7.49300003 14.47349620    
0.11856400 54.27289963     7.36701012 13.18993508    
0.11922900 53.76559830     7.33249998 12.06367092    
0.11989600 51.99589920     7.21082020 11.15506299    
0.12056800 51.32500076     7.16415024 10.51078356    
0.12124400 50.20959854     7.08586979 10.02072299    
0.12192300 49.39739990     7.02832985 9.72075885     
0.12260600 47.44919968     6.88834000 9.65854301     
0.12329300 46.72079849     6.83525991 9.73018847     
0.12398300 46.83480072     6.84358978 9.94209039     
0.12467800 44.98830032     6.70733023 10.37204322    
0.12537600 44.09379959     6.64031982 10.90945137    
0.12607899 42.80179977     6.54231024 11.55506015    
0.12678500 42.68519974     6.53339005 12.34607947    
0.12749501 41.23239899     6.42124987 13.22354939    
0.12820899 40.89450073     6.39487982 14.17042982    
0.12892801 40.26810074     6.34571981 15.19379287    
0.12965000 39.02059937     6.24665022 16.27973093    
0.13037600 38.23490143     6.18344021 17.38999639    
0.13110700 37.58459854     6.13063002 18.52030301    
0.13184100 36.47249985     6.03924990 19.66298900    
0.13258000 36.00070190     6.00006008 20.78880023    
0.13332200 35.01570129     5.91740990 21.89274402    
0.13406900 33.88190079     5.82081985 22.97150975    
0.13482000 33.64979935     5.80084991 23.98911196    
0.13557599 32.60049820     5.70969009 24.93911269    
0.13633500 32.04809952     5.66110992 25.82235713    
0.13709900 31.33110046     5.59742022 26.63358112    
0.13786700 30.68320084     5.53923988 27.32962048    
0.13863900 30.16049957     5.49185991 27.92569284    
0.13941599 29.78709984     5.45774984 28.41776833    
0.14019699 29.03619957     5.38851976 28.79736266    
0.14098200 28.17009926     5.30754995 29.06009441    
0.14177200 27.52319908     5.24625015 29.17194816    
0.14256600 27.11260033     5.20697021 29.16624454    
