# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 2.77746452349830e-09, Chi^2 = 317.267267151599
#  q       exp_intensity   error model_intensity
0.17047200 15.54769993     3.94305992 19.76934917    
0.17142700 15.70740032     3.96325994 19.88572551    
0.17238800 15.42310047     3.92722011 19.95357948    
0.17335300 14.99079990     3.87179995 19.96724770    
0.17432401 14.85779953     3.85457993 19.92612537    
0.17530100 14.78929996     3.84569001 19.82348361    
0.17628300 14.70699978     3.83497000 19.65497176    
0.17727099 14.54469967     3.81375003 19.42416758    
0.17826401 14.08409977     3.75288010 19.12763538    
0.17926200 13.77000046     3.71079993 18.76626716    
0.18026701 13.85760021     3.72257996 18.34323777    
0.18127599 13.96850014     3.73744988 17.86221031    
0.18229200 13.91329956     3.73005009 17.32110528    
0.18331300 13.67570019     3.69806004 16.73119312    
0.18434000 13.12310028     3.62259007 16.09285100    
0.18537299 13.33349991     3.65151000 15.41368152    
0.18641099 13.11750031     3.62180996 14.70387000    
0.18745600 13.02540016     3.60907006 13.96807941    
0.18850601 12.95979977     3.59997010 13.21260901    
0.18956199 12.68640041     3.56180000 12.44958291    
0.19062400 12.55819988     3.54375005 11.68487580    
0.19169199 12.36690044     3.51665998 10.92483025    
0.19276500 12.29930019     3.50704002 10.18333647    
0.19384500 12.09770012     3.47816992 9.45941658     
0.19493100 12.09140015     3.47726989 8.76755130     
0.19602300 12.08069992     3.47572994 8.11105441     
0.19712099 11.72869968     3.42471004 7.49414793     
0.19822600 11.96689987     3.45933008 6.92831991     
0.19933601 11.80720043     3.43617010 6.40630942     
0.20045300 11.74009991     3.42637992 5.94250175     
0.20157599 11.51860046     3.39390993 5.53115362     
0.20270500 11.24320030     3.35308003 5.17414378     
0.20384100 11.23989964     3.35259008 4.86875479     
0.20498200 11.24960041     3.35403991 4.62277605     
0.20613100 11.26220036     3.35593009 4.42353688     
0.20728600 11.29549980     3.36086988 4.27224418     
0.20844699 11.27219963     3.35739994 4.16467710     
0.20961501 11.06579971     3.32652998 4.09290813     
0.21078900 10.92210007     3.30486989 4.05297907     
0.21197000 10.87559986     3.29782009 4.03987373     
0.21315700 10.88780022     3.29966998 4.03776623     
0.21435100 10.58990002     3.25422001 4.05768078     
0.21555200 10.79319954     3.28529000 4.08125561     
0.21675999 10.62020016     3.25886011 4.10507738     
0.21797401 10.55340004     3.24860001 4.12293848     
0.21919499 10.35410023     3.21778989 4.12520358     
0.22042300 10.42609978     3.22895002 4.10861361     
0.22165801 10.35270023     3.21756005 4.07399952     
0.22289900 10.39570045     3.22424006 4.01575987     
0.22414801 10.13529968     3.18359995 3.92943961     
0.22540399 10.18570042     3.19149995 3.81465544     
0.22666700 9.96942043      3.15743995 3.67585870     
0.22793600 9.93299961      3.15166998 3.51411739     
0.22921300 10.12609959     3.18215990 3.32216032     
0.23049700 9.82944012      3.13519001 3.11332510     
0.23178899 9.89095020      3.14498997 2.88653913     
0.23308700 9.87559032      3.14253998 2.65415660     
0.23439300 9.90264988      3.14685011 2.40639210     
0.23570600 9.72846031      3.11905003 2.16124702     
0.23702601 9.72898960      3.11912990 1.92227928     
0.23835400 9.75022984      3.12254000 1.69693897     
0.23968901 9.59939957      3.09828997 1.48508026     
0.24103200 9.66506004      3.10887003 1.29743180     
0.24238200 9.56575012      3.09284997 1.13873958     
0.24374001 9.41903973      3.06904006 1.01151947     
0.24510600 9.46512985      3.07655001 0.91923457     
0.24647900 9.41291046      3.06804991 0.86478472     
0.24786000 9.25277042      3.04184008 0.85066101     
0.24924800 9.30900955      3.05106997 0.87355777     
0.25064400 9.17319012      3.02872992 0.93216668     
0.25204900 9.08047962      3.01338005 1.03203437     
0.25346100 9.19235992      3.03188992 1.16169807     
0.25488001 8.96438026      2.99406004 1.31770449     
0.25630799 9.08409977      3.01397991 1.49729503     
0.25774401 8.97797966      2.99633002 1.69625415     
0.25918800 9.08545017      3.01420999 1.90486854     
0.26064000 9.08403015      3.01396990 2.11242420     
0.26210001 8.92304039      2.98714995 2.32200671     
0.26356801 8.82022953      2.96989012 2.51945899     
0.26504499 8.73929977      2.95622993 2.70337003     
0.26653001 8.66028023      2.94284010 2.86090975     
0.26802301 8.69176960      2.94817996 3.00001440     
0.26952401 8.89500046      2.98245001 3.10106379     
0.27103400 8.69032955      2.94794011 3.17672626     
0.27255300 8.66860962      2.94425011 3.21360915     
0.27407899 8.52289009      2.91939998 3.21776338     
0.27561501 8.53979969      2.92229009 3.18571569     
0.27715901 8.48209953      2.91240001 3.12479153     
0.27871200 8.58753967      2.93044996 3.03455088     
0.28027299 8.53114033      2.92080998 2.92177402     
0.28184301 8.40215969      2.89864993 2.78894321     
0.28342199 8.43570042      2.90442991 2.64404600     
0.28501001 8.38901043      2.89637995 2.48690340     
0.28660601 8.39177036      2.89685011 2.33482423     
0.28821200 8.32266998      2.88490009 2.18229008     
0.28982601 8.20038033      2.86363006 2.04003096     
0.29144999 8.40688038      2.89946008 1.90923264     
0.29308301 8.43614960      2.90451002 1.79666169     
0.29472500 8.21407032      2.86601996 1.70467607     
0.29637599 8.31245995      2.88313007 1.63404656     
0.29803601 8.29759026      2.88054991 1.58291867     
0.29970601 8.33913040      2.88774991 1.55425395     
0.30138499 8.31820011      2.88413000 1.54117890     
0.30307299 8.22721004      2.86830997 1.54975813     
0.30477101 8.25004005      2.87228990 1.56577647     
0.30647799 8.22443008      2.86783004 1.58967212     
0.30819499 8.29298973      2.87976003 1.61812068     
0.30992201 8.31418037      2.88343000 1.64065351     
0.31165799 8.24131012      2.87076998 1.65937570     
0.31340399 8.28656006      2.87863994 1.66644636     
0.31515899 8.26708984      2.87525010 1.65818736     
