# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.10796449543332e-09, Chi^2 = 92.9504634306682
#  q       exp_intensity   error model_intensity
0.05964000 949.24200439    30.80979919 1261.74639040  
0.05997410 935.98602295    30.59390068 1269.80663848  
0.06031010 921.82702637    30.36160088 1272.73202683  
0.06064790 902.27099609    30.03779984 1275.23804683  
0.06098770 888.42498779    29.80649948 1277.75887998  
0.06132940 871.28302002    29.51749992 1275.01252631  
0.06167290 856.38299561    29.26399994 1272.05338099  
0.06201840 840.85400391    28.99749947 1268.79991213  
0.06236590 822.49597168    28.67919922 1260.57121703  
0.06271520 802.94201660    28.33620071 1252.29991500  
0.06306660 787.27301025    28.05839920 1243.07677500  
0.06341990 769.58599854    27.74139977 1229.92488674  
0.06377510 751.74200439    27.41790009 1216.70227301  
0.06413240 736.95001221    27.14679909 1201.81236348  
0.06449170 722.46801758    26.87879944 1184.12477476  
0.06485300 703.60797119    26.52560043 1166.33852228  
0.06521630 687.35601807    26.21750069 1146.28617078  
0.06558160 670.46997070    25.89340019 1124.64288512  
0.06594900 652.62799072    25.54660034 1102.87467238  
0.06631850 635.80200195    25.21509933 1078.38447861  
0.06669000 620.93499756    24.91860008 1053.34316345  
0.06706360 602.24902344    24.54080009 1027.76726549  
0.06743930 587.02697754    24.22859955 1000.12126194  
0.06781710 570.85498047    23.89259911 972.32120043   
0.06819700 557.43499756    23.61009979 943.51544522   
0.06857900 538.20697021    23.19930077 913.75521249   
0.06896320 525.40502930    22.92169952 883.82433091   
0.06934960 510.89199829    22.60289955 852.90944720   
0.06973810 496.14999390    22.27440071 821.74109417   
0.07012870 479.89599609    21.90649986 790.31176848   
0.07052160 466.11099243    21.58959961 758.50986253   
0.07091670 452.41000366    21.26989937 726.53005310   
0.07131390 441.62799072    21.01490021 694.64492590   
0.07171340 425.83801270    20.63579941 662.64641641   
0.07211520 413.38000488    20.33169937 630.73246247   
0.07251920 402.83599854    20.07080078 599.31467414   
0.07292540 391.41500854    19.78420067 567.72538121   
0.07333400 379.20800781    19.47330093 537.07388915   
0.07374480 368.61898804    19.19939995 506.50931620   
0.07415790 357.32299805    18.90299988 476.48927566   
0.07457330 348.22500610    18.66080093 447.46441686   
0.07499110 338.07000732    18.38669968 418.27192876   
0.07541120 328.09600830    18.11339951 391.08654192   
0.07583370 318.00698853    17.83270073 363.79311942   
0.07625850 311.17599487    17.64019966 337.86263407   
0.07668570 302.66598511    17.39730072 312.76414763   
0.07711530 296.56900024    17.22120094 288.24885669   
0.07754730 287.14099121    16.94519997 265.58301145   
0.07798170 279.24499512    16.71059990 242.79090172   
0.07841860 271.87200928    16.48850060 222.58335682   
0.07885790 265.01199341    16.27919960 202.38386111   
0.07929970 259.03100586    16.09440041 184.05305133   
0.07974390 252.04100037    15.87580013 166.56873558   
0.08019060 246.39999390    15.69709969 150.21759068   
0.08063990 240.78500366    15.51720047 135.43595721   
0.08109160 236.71099854    15.38539982 121.15364768   
0.08154590 230.98500061    15.19820023 109.07563082   
0.08200270 225.83000183    15.02760029 96.94724637    
0.08246210 222.21699524    14.90690041 87.49249977    
0.08292400 217.18800354    14.73729992 77.98638536    
0.08338860 214.29200745    14.63869953 70.57415607    
0.08385570 209.28399658    14.46669960 63.54452990    
0.08432550 204.78500366    14.31029987 58.14710837    
0.08479790 201.55400085    14.19699955 53.46545942    
0.08527290 197.74000549    14.06200027 50.01696817    
0.08575060 193.89900208    13.92479992 47.48660798    
0.08623100 190.33500671    13.79619980 45.86716395    
0.08671410 186.88600159    13.67059994 45.24315664    
0.08719990 182.81799316    13.52099991 45.29752821    
0.08768840 179.81199646    13.40939999 46.33291956    
0.08817960 178.50700378    13.36069965 47.90052581    
0.08867360 173.89799500    13.18700027 50.39571472    
0.08917030 170.82299805    13.06989956 53.27928912    
0.08966990 167.60899353    12.94639969 56.90211565    
0.09017220 165.39500427    12.86060047 60.84946338    
0.09067740 160.91000366    12.68500042 65.40747821    
0.09118530 158.25399780    12.57989979 70.21851036    
0.09169620 155.01199341    12.45040035 75.45847469    
0.09220990 151.92599487    12.32579994 80.86543201    
0.09272640 148.69999695    12.19429970 86.50327960    
0.09324590 146.98599243    12.12380028 92.24068815    
0.09376820 145.02699280    12.04269981 98.08383913    
0.09429350 141.46899414    11.89410019 103.92468823   
0.09482180 136.87800598    11.69950008 109.77056180   
0.09535300 134.76600647    11.60890007 115.46210522   
0.09588710 132.66099548    11.51790047 121.09020952   
0.09642430 130.19099426    11.41009998 126.41465762   
0.09696450 126.47699738    11.24619961 131.67896702   
0.09750770 123.34300232    11.10599995 136.44415196   
0.09805390 121.29199982    11.01319981 141.13070003   
0.09860320 118.83000183    10.90089989 145.22073489   
0.09915560 116.65000153    10.80049992 149.11283756   
0.09971110 112.65399933    10.61390018 152.45982983   
0.10027000 109.94599915    10.48550034 155.41617295   
0.10083100 107.58499908    10.37230015 157.94198299   
0.10139600 105.52500153    10.27260017 159.88010861   
0.10196400 102.99400330    10.14859962 161.56863957   
0.10253500 101.13700104    10.05669975 162.38786656   
0.10311000 97.36840057     9.86754036 162.98331132   
0.10368800 95.59169769     9.77709961 162.85949554   
0.10426800 92.86869812     9.63683987 162.32076664   
0.10485200 90.80480194     9.52915955 161.29244263   
0.10544000 88.77649689     9.42212963 159.60990892   
0.10603100 87.35820007     9.34655952 157.65970643   
0.10662500 84.22789764     9.17757988 154.96836864   
0.10722200 82.52349854     9.08423996 151.99556437   
0.10782300 80.76589966     8.98698044 148.54731253   
0.10842700 77.62359619     8.81042957 144.62134241   
0.10903400 76.56520081     8.75014973 140.45313464   
0.10964500 74.34089661     8.62211990 135.73264818   
0.11025900 72.45999908     8.51233959 130.80446430   
0.11087700 71.25530243     8.44128990 125.58947963   
0.11149800 69.31089783     8.32532024 120.05365899   
0.11212200 68.52390289     8.27791977 114.36795193   
0.11275100 66.58419800     8.15991020 108.43027720   
0.11338200 65.17109680     8.07285976 102.40304205   
0.11401700 63.98960114     7.99935007 96.29021207    
0.11465600 61.89239883     7.86716986 90.10527941    
0.11529800 61.27809906     7.82804012 83.92123995    
0.11594400 59.89390182     7.73910999 77.73352858    
0.11659400 57.88629913     7.60831022 71.65073470    
0.11724700 57.69869995     7.59596014 65.65529832    
0.11790400 56.14509964     7.49300003 59.79150762    
0.11856400 54.27289963     7.36701012 54.19252404    
0.11922900 53.76559830     7.33249998 48.74098009    
0.11989600 51.99589920     7.21082020 43.53988196    
0.12056800 51.32500076     7.16415024 38.70536244    
0.12124400 50.20959854     7.08586979 34.11239577    
0.12192300 49.39739990     7.02832985 29.84696877    
0.12260600 47.44919968     6.88834000 26.04572787    
0.12329300 46.72079849     6.83525991 22.53988534    
0.12398300 46.83480072     6.84358978 19.36320827    
0.12467800 44.98830032     6.70733023 16.76778906    
0.12537600 44.09379959     6.64031982 14.50708113    
0.12607899 42.80179977     6.54231024 12.58516326    
0.12678500 42.68519974     6.53339005 11.20811721    
0.12749501 41.23239899     6.42124987 10.22167051    
0.12820899 40.89450073     6.39487982 9.57090139     
0.12892801 40.26810074     6.34571981 9.32236174     
0.12965000 39.02059937     6.24665022 9.54184779     
0.13037600 38.23490143     6.18344021 10.05133096    
0.13110700 37.58459854     6.13063002 10.84763924    
0.13184100 36.47249985     6.03924990 12.00796791    
0.13258000 36.00070190     6.00006008 13.43833809    
0.13332200 35.01570129     5.91740990 15.07543753    
0.13406900 33.88190079     5.82081985 16.91250437    
0.13482000 33.64979935     5.80084991 18.95596757    
0.13557599 32.60049820     5.70969009 21.11086150    
0.13633500 32.04809952     5.66110992 23.34259775    
0.13709900 31.33110046     5.59742022 25.63338223    
0.13786700 30.68320084     5.53923988 27.91265162    
0.13863900 30.16049957     5.49185991 30.18569597    
0.13941599 29.78709984     5.45774984 32.38003271    
0.14019699 29.03619957     5.38851976 34.46036282    
0.14098200 28.17009926     5.30754995 36.41085802    
0.14177200 27.52319908     5.24625015 38.15460809    
0.14256600 27.11260033     5.20697021 39.69524923    
0.14336500 26.32299995     5.13058996 41.02533106    
0.14416800 25.58169937     5.05783987 42.12222348    
0.14497600 25.61689949     5.06130981 42.93384007    
0.14578800 24.74959946     4.97489977 43.42131666    
0.14660500 24.56599998     4.95640993 43.61479405    
0.14742599 24.17840004     4.91715002 43.52961606    
0.14825200 23.62689972     4.86075020 43.15746182    
0.14908201 23.38409996     4.83571005 42.47939375    
0.14991800 22.71990013     4.76654005 41.52347076    
0.15075700 22.61249924     4.75525999 40.26452533    
0.15160200 22.02499962     4.69307995 38.76061448    
0.15245099 21.50300026     4.63713980 37.03237184    
0.15330499 21.45700073     4.63217020 35.10476594    
0.15416400 21.24640083     4.60937977 33.00650940    
0.15502800 20.08639908     4.48179007 30.74978917    
0.15589599 20.21780014     4.49641991 28.37478479    
0.15676901 19.68320084     4.43658018 25.94846185    
0.15764800 19.22820091     4.38499022 23.48360944    
0.15853100 18.61079979     4.31402016 21.01890255    
0.15941900 18.68400002     4.32250023 18.59215866    
0.16031200 18.58729935     4.31129980 16.23712135    
0.16121000 18.35779953     4.28459978 13.98442628    
0.16211300 17.81010056     4.22021008 11.87485958    
0.16302100 17.51309967     4.18486023 9.91007931     
0.16393501 17.50200081     4.18353987 8.18236078     
0.16485301 17.25790024     4.15426016 6.66535634     
0.16577700 16.84709930     4.10451984 5.38305312     
0.16670500 16.69930077     4.08648014 4.32736996     
0.16763900 16.56220055     4.06967020 3.53636737     
0.16857800 16.05830002     4.00727987 2.99176973     
0.16952300 15.91609955     3.98950005 2.69451234     
0.17047200 15.54769993     3.94305992 2.64447560     
0.17142700 15.70740032     3.96325994 2.82475528     
0.17238800 15.42310047     3.92722011 3.21760735     
0.17335300 14.99079990     3.87179995 3.80111515     
0.17432401 14.85779953     3.85457993 4.56306367     
0.17530100 14.78929996     3.84569001 5.46688380     
0.17628300 14.70699978     3.83497000 6.47549824     
0.17727099 14.54469967     3.81375003 7.57111273     
0.17826401 14.08409977     3.75288010 8.71589612     
0.17926200 13.77000046     3.71079993 9.87556287     
0.18026701 13.85760021     3.72257996 11.02831577    
0.18127599 13.96850014     3.73744988 12.13318581    
0.18229200 13.91329956     3.73005009 13.15349401    
0.18331300 13.67570019     3.69806004 14.07555890    
0.18434000 13.12310028     3.62259007 14.86440968    
0.18537299 13.33349991     3.65151000 15.50722876    
0.18641099 13.11750031     3.62180996 15.98805646    
0.18745600 13.02540016     3.60907006 16.29609495    
0.18850601 12.95979977     3.59997010 16.41334375    
0.18956199 12.68640041     3.56180000 16.35361538    
0.19062400 12.55819988     3.54375005 16.11555038    
0.19169199 12.36690044     3.51665998 15.69092867    
0.19276500 12.29930019     3.50704002 15.11270026    
0.19384500 12.09770012     3.47816992 14.37288375    
0.19493100 12.09140015     3.47726989 13.51141124    
0.19602300 12.08069992     3.47572994 12.53974874    
0.19712099 11.72869968     3.42471004 11.46177450    
0.19822600 11.96689987     3.45933008 10.34293776    
0.19933601 11.80720043     3.43617010 9.17235715     
0.20045300 11.74009991     3.42637992 8.01954463     
0.20157599 11.51860046     3.39390993 6.88185058     
0.20270500 11.24320030     3.35308003 5.78892343     
0.20384100 11.23989964     3.35259008 4.76028673     
0.20498200 11.24960041     3.35403991 3.83808391     
0.20613100 11.26220036     3.35593009 3.02410346     
0.20728600 11.29549980     3.36086988 2.33820817     
0.20844699 11.27219963     3.35739994 1.79370571     
0.20961501 11.06579971     3.32652998 1.39473097     
0.21078900 10.92210007     3.30486989 1.14668053     
0.21197000 10.87559986     3.29782009 1.04586942     
0.21315700 10.88780022     3.29966998 1.07746919     
0.21435100 10.58990002     3.25422001 1.27254198     
0.21555200 10.79319954     3.28529000 1.57968338     
0.21675999 10.62020016     3.25886011 1.99108356     
0.21797401 10.55340004     3.24860001 2.49085131     
0.21919499 10.35410023     3.21778989 3.05307411     
0.22042300 10.42609978     3.22895002 3.64735281     
0.22165801 10.35270023     3.21756005 4.26309224     
0.22289900 10.39570045     3.22424006 4.87298068     
0.22414801 10.13529968     3.18359995 5.44713798     
0.22540399 10.18570042     3.19149995 5.96055448     
0.22666700 9.96942043      3.15743995 6.41021686     
0.22793600 9.93299961      3.15166998 6.77776863     
0.22921300 10.12609959     3.18215990 7.01519538     
0.23049700 9.82944012      3.13519001 7.14687717     
0.23178899 9.89095020      3.14498997 7.16441363     
0.23308700 9.87559032      3.14253998 7.07560465     
0.23439300 9.90264988      3.14685011 6.83541445     
0.23570600 9.72846031      3.11905003 6.50035275     
0.23702601 9.72898960      3.11912990 6.07690724     
0.23835400 9.75022984      3.12254000 5.55752251     
0.23968901 9.59939957      3.09828997 4.97609502     
0.24103200 9.66506004      3.10887003 4.36286738     
0.24238200 9.56575012      3.09284997 3.72416018     
0.24374001 9.41903973      3.06904006 3.09613104     
0.24510600 9.46512985      3.07655001 2.48947903     
0.24647900 9.41291046      3.06804991 1.93306695     
0.24786000 9.25277042      3.04184008 1.44880151     
0.24924800 9.30900955      3.05106997 1.04567539     
0.25064400 9.17319012      3.02872992 0.73400253     
0.25204900 9.08047962      3.01338005 0.54157131     
0.25346100 9.19235992      3.03188992 0.45676700     
0.25488001 8.96438026      2.99406004 0.47110623     
0.25630799 9.08409977      3.01397991 0.59474450     
0.25774401 8.97797966      2.99633002 0.81102508     
0.25918800 9.08545017      3.01420999 1.10811978     
0.26064000 9.08403015      3.01396990 1.44851644     
0.26210001 8.92304039      2.98714995 1.83898220     
0.26356801 8.82022953      2.96989012 2.24211607     
0.26504499 8.73929977      2.95622993 2.64601341     
0.26653001 8.66028023      2.94284010 3.01098523     
0.26802301 8.69176960      2.94817996 3.34349784     
0.26952401 8.89500046      2.98245001 3.58828426     
0.27103400 8.69032955      2.94794011 3.77834464     
0.27255300 8.66860962      2.94425011 3.86888839     
0.27407899 8.52289009      2.91939998 3.86707406     
0.27561501 8.53979969      2.92229009 3.77197812     
0.27715901 8.48209953      2.91240001 3.59582674     
0.27871200 8.58753967      2.93044996 3.33356025     
0.28027299 8.53114033      2.92080998 3.01109753     
0.28184301 8.40215969      2.89864993 2.64367448     
0.28342199 8.43570042      2.90442991 2.25091271     
0.28501001 8.38901043      2.89637995 1.83432648     
0.28660601 8.39177036      2.89685011 1.45920591     
0.28821200 8.32266998      2.88490009 1.09913505     
0.28982601 8.20038033      2.86363006 0.79539312     
0.29144999 8.40688038      2.89946008 0.55032170     
0.29308301 8.43614960      2.90451002 0.38462707     
0.29472500 8.21407032      2.86601996 0.29899828     
0.29637599 8.31245995      2.88313007 0.29709050     
0.29803601 8.29759026      2.88054991 0.36576271     
0.29970601 8.33913040      2.88774991 0.51075796     
0.30138499 8.31820011      2.88413000 0.70023393     
0.30307299 8.22721004      2.86830997 0.95351898     
0.30477101 8.25004005      2.87228990 1.21533117     
0.30647799 8.22443008      2.86783004 1.48511521     
0.30819499 8.29298973      2.87976003 1.74832306     
0.30992201 8.31418037      2.88343000 1.96804416     
0.31165799 8.24131012      2.87076998 2.15217420     
0.31340399 8.28656006      2.87863994 2.27650701     
0.31515899 8.26708984      2.87525010 2.33473532     
0.31692499 8.14867020      2.85458994 2.32041557     
